Food Item,Calories,Protein in Grams,Carbs in Grams,Fat in Grams,Fiber in Grams,Sodium in Milligrams
hummus sabra classic,,,,,,
hummus,,,,16.95,5.45,438.3636
hummus other,,,,,,
hummus tribe classic,,,,,,
milk 2 wave 22e,,,,,,
milk 2,,,,1.9057,,38.9167
beef eye of round roast raw er37,,,,,,
beef eye of round steak raw es36,,,,,,
se,,,,,,
minerals,,,,,,53.8571
b12 b6 b3 b2,,,,,,
fa,,,,,,
choles fa,,,,,,
tomatoes grape,,,,0.6283,2.1,5.8333
milk reduced fat fluid 2 milkfat with added vitamin a and vitamin d,50.0,3.36,4.9,1.9,,39.0
salt morton iodized,,,,,,
salt iodized,,,,,,38662.5
salt not iodized,,,,,,
salt great value iodized,,,,,,
salt heb iodized,,,,,,
salt laura lynn iodized,,,,,,
salt essential everyday iodized,,,,,,
salt hy vee iodized,,,,,,
salt signature kitchens iodized,,,,,,
salt food club iodized,,,,,,
salt shop rite iodized,,,,,,
salt table iodized,,,,,,38700.0
beans snap canned drained del monte,,,,,,
beans snap canned drained,,,,0.3933,,278.0909
beans snap canned drained store brand,,,,,,
beans snap canned drained great value,,,,,,
broccoli raw ocean mist 4 bunches product of usa nc1,,,,,,
broccoli raw 4 bunches product of usa al1,,,,,,
broccoli raw 4 bunches ca1,,,,,,
broccoli raw 1 bunch ct1,,,,,,
broccoli region 1 na yes proximates,,,,0.41,,
broccoli region 3 na yes proximates,,,,0.22,,
broccoli region 4 na yes proximates,,,,0.42,,
broccoli cooked region 4 na yes proximates,,,,0.47,,
broccoli region 2 na yes proximates,,,,0.3,,
broccoli cooked region 2 na yes proximates,,,,0.45,,
broccoli raw,31.0,2.57,6.27,0.34,2.4,36.0
milk 1wave 22e,,,,,,
milk 1 wave 22e,,,,,,
milk 1,,,,0.9124,,39.25
milk skim,,,,0.1244,,41.1667
milk skim wave 22e,,,,,,
milk lowfat fluid 1 milkfat with added vitamin a and vitamin d,43.0,3.38,5.18,0.95,,39.0
milk nonfat fluid with added vitamin a and vitamin d fat free or skim,34.0,3.43,4.92,0.08,,41.0
milk whole wave 22e,,,,,,
milk whole,,,,3.1468,,37.8182
milk whole 325 milkfat with added vitamin d,60.0,3.27,4.63,3.2,,38.0
hot dogs beef ball park angus,,,,,,
hot dogs beef,,,,28.0875,,871.8235
hot dogs beef oscar mayer premium jumbo,,,,,,
hot dogs beef hebrew national,,,,,,
almonds dry roasted salted blue diamond,,,,,,
almonds dry roasted salted,,,,57.5917,11.0,255.4615
almonds dry roasted salted emerald,,,,,,
almonds dry roasted salted store brand,,,,,,
almonds dry roasted salted snack artist,,,,,,
almonds dry roasted salted great value,,,,,,
cheese ricotta whole milk galbani,,,,11.08,,89.75
cheese ricotta whole milk sorrento,,,,8.2,,98.0
ricotta cheese whole milk,,,,,,
cheese ricotta whole milk polly,,,,11.5,,161.0
cheese ricotta whole milk storeother,,,,11.32,,108.25
cheese ricotta whole milk lucerne,,,,11.9,,109.0
cheese ricotta whole milk,157.0,7.81,6.86,11.0,,105.0
kale fresh unprepared,,,,,,
kale,,,,1.321,4.1,32.4545
egg liquid whole producer c lot 3,,,,,,
liquid whole egg plain no salt or sugar,,,,,,
whole eggs,,,,10.2907,,121.4286
egg liquid whole producer d lot 3,,,,,,
egg liquid whole producer d,,,,,,
egg liquid whole producer c,,,,,,
egg liquid whole producer a lot 2,,,,,,
egg liquid whole producer f lot 3,,,,,,
egg liquid whole producer b lot 3,,,,,,
egg liquid whole producer f,,,,,,
egg liquid whole producer b,,,,,,
egg liquid white producer d lot 3,,,,,,
liquid egg white without whipping agents,,,,,,
egg whites,,,,0.1556,,147.8
egg liquid white producer c lot 3,,,,,,
egg liquid white producer a lot 3,,,,,,
egg liquid white producer f lot 3,,,,,,
egg liquid white producer b lot 3,,,,,,
egg dried white stabilized producer c lot 3,,,,,,
dried stabilized egg white,,,,,,
egg whites dried,,,,0.6493,,1250.6667
egg dried white stabilized producer e lot 3,,,,,,
egg dried white stabilized producer e,,,,,,
egg dried white stabilized producer c,,,,,,
egg dried white stabilized producer d lot 3,,,,,,
egg dried white stabilized producer d,,,,,,
egg dried white stabilized producer b lot 3,,,,,,
egg dried white stabilized producer b,,,,,,
egg dried white stabilized producer a lot 3,,,,,,
egg dried white stabilized producer a,,,,,,
salsa tostitos chunky,,,,,,
salsa,,,,0.2083,,656.25
salsa pace chunky,,,,,,
salsa tostitos chunky medium fl1,,,,,,
salsa tostitos chunky medium mo1,,,,,,
salsa tostitos chunky medium ct1,,,,,,
salsa tostitos chunky medium co1,,,,,,
salsa tostitos chunky medium al1,,,,,,
salsa tostitos chunky medium ca1,,,,,,
salsa tostitos chunky medium in1,,,,,,
salsa tostitos chunky medium ny1,,,,,,
salsa tostitos chunky medium nc1,,,,,,
salsa tostitos chunky medium ca2,,,,,,
salsa tostitos chunky medium mi1,,,,,,
salsa tostitos chunky medium ok1,,,,,,
salsa pace chunky medium ca1,,,,,,
salsa pace chunky medium al1,,,,,,
salsa pace chunky medium ny1,,,,,,
salsa pace chunky medium nc1,,,,,,
salsa pace chunky medium ca2,,,,,,
salsa pace chunky medium ct1,,,,,,
salsa pace chunky medium co1,,,,,,
salsa pace chunky medium fl1,,,,,,
salsa pace chunky medium mo1,,,,,,
salsa pace chunky medium mi1,,,,,,
salsa pace chunky medium ok1,,,,,,
sauce salsa ready,29.0,1.44,6.74,0.19,1.8,656.0
beef breakfast sausage banquet brown n serve sausage links,,,,28.6,,790.0
beef breakfast sausage eckrich sausage links,,,,27.3667,,1020.0
beef breakfast sausage banquet brown n serve sausage links maple flavor,,,,32.5,,784.0
sausage breakfast sausage beef pre,328.0,13.3,3.37,28.7,,866.0
onion rings frozen oven,,,,,,
alexia onion rings frozen ca2,,,,,,
alexia onion rings frozen nc1,,,,,,
ore,,,,,,
minerals onion rings frozen ore,,,,,,466.0
proximates onion rings frozen ore,,,,12.9667,,
alexia onion rings frozen mo1,,,,,,
alexia onion rings frozen fl,,,,,,
tocopherols onion rings frozen ore,,,,,,
folate onion rings frozen ore,,,,,,
niacin onion rings frozen ore,,,,,,
riboflavin onion rings frozen ore,,,,,,
selenium onion rings frozen ore,,,,,,
sugars onion rings frozen ore,,,,,,
fatty acids onion rings frozen ore,,,,,,
starch onion rings frozen ore,,,,,,
tdf onion rings frozen ore,,,,,2.2,
thiamin onion rings frozen ore,,,,,,
vitamin b6 onion rings frozen ore,,,,,,
alexia onion rings frozen co1,,,,,,
alexia onion rings frozen ct1,,,,,,
pantothenic acid onion rings frozen ore,,,,,,
alexia onion rings frozen in1,,,,,,
alexia onion rings frozen ny1,,,,,,
kroger onion rings frozen in1,,,,,,
kroger sweet onion rings frozen co1,,,,,,
alexia onion rings frozen ok1,,,,,,
alexia onion rings frozen al 1,,,,,,
pickles kosher dill spears vlasic fl,,,,,,
pickles kosher dill spears vlasic mo1,,,,,,
pickles kosher dill spears vlasic nc1,,,,,,
pickles kosher dill spears vlasic ca2,,,,,,
pickles kosher dill spears vlasic in1,,,,,,
pickles kosher dill spears vlasic ny,,,,,,
pickles kosher dill spears vlasic co1,,,,,,
pickles kosher dill spears vlasic ct1,,,,,,
pickles kosher dill spears clausen in1,,,,,,
pickles kosher dill spears clausen ny,,,,,,
pickles kosher dill spears clausen nc1,,,,,,
pickles kosher dill spears clausen ca2,,,,,,
pickles kosher dill spears vlasic mi1,,,,,,
pickles kosher dill spears vlasic ok1,,,,,,
pickles kosher dill spears vlasic ca1,,,,,,
pickles kosher dill spears vlasic al1,,,,,,
pickles kosher dill spears clausen ct1,,,,,,
pickles kosher dill spears clausen co1,,,,,,
pickles kosher dill spears clausen mi1,,,,,,
pickles kosher dill spears clausen ok1,,,,,,
pickles kosher dill spears clausen ca1,,,,,,
pickles kosher dill spears clausen al1,,,,,,
pickles kosher dill spears store brand americas choice ny,,,,,,
pickles kosher dill spears store brand shop rite ct1,,,,,,
pickles kosher dill spears store brand publix fl,,,,,,
pickles kosher dill spears store brand hy vee mo1,,,,,,
pickles kosher dill spears store brand food lion nc1,,,,,,
pickles kosher dill spears store brand sunny select ca2,,,,,,
pickles kosher dill spears store brand great value al1,,,,,,
pickles kosher dill spears store brand great value ok1,,,,,,
pickles kosher dill spears clausen mo1,,,,,,
pickles kosher dill spears clausen fl,,,,,,
pickles kosher dill spears claussen,,,,,,
pickles kosher dill,,,,0.5589,,829.3529
pickles kosher dill spears store brand kroger mi1,,,,,,
pickles kosher dill spears store brand kroger in1,,,,,,
pickles kosher dill spears mt olive,,,,,,
pickles kosher dill spears vlasic,,,,,,
pickles kosher dill spears other,,,,,,
peanut butter creamy skippy mi1,,,,,,
peanut butter creamy skippy in1,,,,,,
peanut butter creamy skippy mo1,,,,,,
peanut butter creamy skippy fl,,,,,,
peanut butter creamy store brandother brand americas choice ny,,,,,,
peanut butter creamy store brandother brand publix fl,,,,,,
peanut butter creamy skippy nc1,,,,,,
parmesan cheese grated kraft 100 fl,,,,,,
parmesan cheese grated kraft 100 mo1,,,,,,
parmesan cheese grated kraft 100 ny,,,,,,
parmesan cheese grated kraft 100 in1,,,,,,
parmesan cheese grated kraft 100 nc1,,,,,,
parmesan cheese grated kraft 100 ca2,,,,,,
parmesan cheese grated kraft 100 al1,,,,,,
parmesan cheese grated kraft 100 ca1,,,,,,
parmesan cheese grated store brandother brand price chopper ct1,,,,,,
parmesan cheese grated kraft 100 ct1,,,,,,
parmesan cheese grated kraft 100 co1,,,,,,
parmesan cheese grated kraft 100 ok1,,,,,,
parmesan cheese grated kraft 100 mi1,,,,,,
parmesan cheese grated store brandother brand my essentials 100 nc1,,,,,,
parmesan cheese grated store brandother brand sunnyside farms 100 ca2,,,,,,
parmesan cheese grated store brandother brand great value ok1,,,,,,
parmesan cheese grated store brandother brand great value al1,,,,,,
parmesan cheese grated store brandother brand safeway kitchens ca1,,,,,,
parmesan cheese grated store brandother brand safeway kitchens co1,,,,,,
parmesan cheese grated store brandother brand flora fine foods 100 pure fl,,,,,,
parmesan cheese grated store brandother brand hyvee 100 mo1,,,,,,
parmesan cheese grated store brandother brand kroger in1,,,,,,
parmesan cheese grated store brandother brand kroger mi1,,,,,,
american cheese pasteurized process best choice deluxe ok,,,,,,
american cheese pasteurized process great value deluxe al,,,,,,
proximates american cheese pasteurized process mixed store brand,,,,30.2333,,
american cheese pasteurized process kraft ny,,,,,,
american cheese pasteurized process kraft in,,,,,,
minerals american cheese pasteurized process kraft,,,,,,1676.6667
proximates american cheese pasteurized process kraft,,,,31.0333,,
riboflavin american cheese pasteurized process kraft,,,,,,
vitamin b12 american cheese pasteurized process kraft,,,,,,
american cheese pasteurized process kraft ca,,,,,,
american cheese pasteurized process kraft deli deluxe nc,,,,,,
american cheese pasteurized process land,,,,,,
american cheese pasteurized process kroger deluxe in,,,,,,
american cheese pasteurized process shop rite singles ct,,,,,,
american cheese pasteurized process kraft deli deluxe co,,,,,,
minerals american cheese pasteurized process kraft deli deluxe,,,,,,1670.0
proximates american cheese pasteurized process kraft deli deluxe,,,,30.7,,
american cheese pasteurized process kraft mi,,,,,,
american cheese pasteurized process kraft ok,,,,,,
american cheese pasteurized process hyvee deluxe sliced mo,,,,,,
american cheese pasteurized process sunnyside farms deluxe slices ca,,,,,,
fatty acids american cheese pasteurized process mixed store brand,,,,,,
american cheese pasteurized process kraft al,,,,,,
minerals american cheese pasteurized process kroger deluxe,,,,,,1270.0
american cheese pasteurized process lucerne deluxe slices co,,,,,,
american cheese pasteurized process lucerne deluxe slices ca,,,,,,
american cheese pasteurized process kraft fl,,,,,,
american cheese pasteurized process kroger deluxe mi,,,,,,
minerals american cheese pasteurized process lucerne deluxe slices,,,,,,1530.0
american cheese pasteurized process havily cheese company mo,,,,,,
american cheese pasteurized process publix deluxe fl,,,,,,
american cheese pasteurized process tropical deluxe ny,,,,,,
grapefruit juice white shelf stable store brand,,,,,,
grapefruit juice white shelf stable,,,,0.6778,0.25,0.9
grapefruit juice white shelf stable ocean spray,,,,,,
grapefruit juice white shelf stable signature kitchen,,,,,,
peaches raw region 2 na yes,,,,0.07,,15.0
peaches raw region 4 na yes,,,,,,23.0
peaches raw region 1 na yes,,,,0.22,,17.0
peaches raw region 3 na yes,,,,,,21.0
sunflower seeds dry roasted salted storeother,,,,,,
sunflower seeds dry roasted salted,,,,55.66,10.3,532.1667
sunflower seeds dry roasted salted planters,,,,,,
italian pork sausage storeother cooked,,,,27.48,,814.25
italian pork sausage great value cooked,,,,27.0,,772.0
italian pork sausage kroger cooked,,,,25.45,,937.0
italian pork sausage cooked,,,,,,
italian pork sausage johnsonville hot cooked,,,,26.8,,664.0
italian pork sausage johnsonville mild cooked,,,,25.3,,698.0
sausage italian pork mild cooked pan,322.0,18.2,2.15,26.2,,766.0
