food_nutrient_core_id,fdc_id,description,Calories,Protein_G,Carbs_G,Fat_G,Fiber_G,Sodium_MG
0,319874,hummus sabra classic,,,,,,
1,319877,hummus,225.0668,7.2875,13.5667,16.95,5.45,438.3636
2,319894,hummus other,,,,,,
3,319958,hummus tribe classic,,,,,,
4,320025,milk 2 wave 22e,,,,,,
5,320027,milk 2,30.2813,3.2825,,1.9057,,38.9167
6,320354,beef eye of round roast raw er37,,,,,,
7,320355,beef eye of round steak raw es36,,,,,,
8,320380,se,,,,,,
9,320381,minerals,,,,,,53.8571
10,320385,b12 b6 b3 b2,,,,,,
11,320386,fa,,,,,,
12,320387,choles fa,,,,,,
13,320413,tomatoes grape,13.1872,0.833125,2.1,0.6283,2.1,5.8333
14,321359,milk reduced fat fluid 2 milkfat with added vitamin a and vitamin d,50.0,3.36,4.9,1.9,,39.0
15,321361,salt morton iodized,,,,,,
16,321363,salt iodized,,,,,,38662.5
17,321366,salt not iodized,,,,,,
18,321373,salt great value iodized,,,,,,
19,321379,salt heb iodized,,,,,,
20,321406,salt laura lynn iodized,,,,,,
21,321412,salt essential everyday iodized,,,,,,
22,321429,salt hy vee iodized,,,,,,
23,321458,salt signature kitchens iodized,,,,,,
24,321464,salt food club iodized,,,,,,
25,321475,salt shop rite iodized,,,,,,
26,321505,salt table iodized,0.0,,,,,38700.0
27,321506,beans snap canned drained del monte,,,,,,
28,321510,beans snap canned drained,7.707199999999999,1.0418749999999999,,0.3933,,278.0909
29,321557,beans snap canned drained store brand,,,,,,
30,321591,beans snap canned drained great value,,,,,,
31,321622,broccoli raw ocean mist 4 bunches product of usa nc1,,,,,,
32,321632,broccoli raw 4 bunches product of usa al1,,,,,,
33,321633,broccoli raw 4 bunches ca1,,,,,,
34,321642,broccoli raw 1 bunch ct1,,,,,,
35,321660,broccoli region 1 na yes proximates,11.19,1.875,,0.41,,
36,321706,broccoli region 3 na yes proximates,6.98,1.25,,0.22,,
37,321731,broccoli region 4 na yes proximates,11.53,1.9375,,0.42,,
38,321747,broccoli cooked region 4 na yes proximates,11.23,1.7500000000000002,,0.47,,
39,321775,broccoli region 2 na yes proximates,12.45,2.4375,,0.3,,
40,321793,broccoli cooked region 2 na yes proximates,8.55,1.125,,0.45,,
41,321900,broccoli raw,31.0,2.57,6.27,0.34,2.4,36.0
42,321901,milk 1wave 22e,,,,,,
43,321902,milk 1 wave 22e,,,,,,
44,321903,milk 1,21.3641,3.288125,,0.9124,,39.25
45,322022,milk skim,14.609599999999999,3.3724999999999996,,0.1244,,41.1667
46,322041,milk skim wave 22e,,,,,,
47,322228,milk lowfat fluid 1 milkfat with added vitamin a and vitamin d,43.0,3.38,5.18,0.95,,39.0
48,322559,milk nonfat fluid with added vitamin a and vitamin d fat free or skim,34.0,3.43,4.92,0.08,,41.0
49,322560,milk whole wave 22e,,,,,,
50,322562,milk whole,41.136199999999995,3.2037499999999994,,3.1468,,37.8182
51,322892,milk whole 325 milkfat with added vitamin d,60.0,3.27,4.63,3.2,,38.0
52,322893,hot dogs beef ball park angus,,,,,,
53,322896,hot dogs beef,299.71,11.730625,,28.0875,,871.8235
54,322955,hot dogs beef oscar mayer premium jumbo,,,,,,
55,323044,hot dogs beef hebrew national,,,,,,
56,323122,almonds dry roasted salted blue diamond,,,,,,
57,323127,almonds dry roasted salted,639.0553,24.682499999999997,11.0,57.5917,11.0,255.4615
58,323178,almonds dry roasted salted emerald,,,,,,
59,323205,almonds dry roasted salted store brand,,,,,,
60,323265,almonds dry roasted salted snack artist,,,,,,
61,323280,almonds dry roasted salted great value,,,,,,
62,323295,cheese ricotta whole milk galbani,125.5325,6.453125,,11.08,,89.75
63,323304,cheese ricotta whole milk sorrento,94.3,5.125,,8.2,,98.0
64,323321,ricotta cheese whole milk,,,,,,
65,323342,cheese ricotta whole milk polly,143.0,9.875,,11.5,,161.0
66,323361,cheese ricotta whole milk storeother,135.4425,8.390625,,11.32,,108.25
67,323378,cheese ricotta whole milk lucerne,146.35000000000002,9.8125,,11.9,,109.0
68,323444,cheese ricotta whole milk,157.0,7.81,6.86,11.0,,105.0
69,323445,kale fresh unprepared,,,,,,
70,323448,kale,31.714,2.90625,4.1,1.321,4.1,32.4545
71,323506,egg liquid whole producer c lot 3,,,,,,
72,323507,liquid whole egg plain no salt or sugar,,,,,,
73,323508,whole eggs,141.7763,12.29,,10.2907,,121.4286
74,323513,egg liquid whole producer d lot 3,,,,,,
75,323526,egg liquid whole producer d,,,,,,
76,323533,egg liquid whole producer c,,,,,,
77,323548,egg liquid whole producer a lot 2,,,,,,
78,323562,egg liquid whole producer f lot 3,,,,,,
79,323569,egg liquid whole producer b lot 3,,,,,,
80,323582,egg liquid whole producer f,,,,,,
81,323596,egg liquid whole producer b,,,,,,
82,323605,egg liquid white producer d lot 3,,,,,,
83,323606,liquid egg white without whipping agents,,,,,,
84,323607,egg whites,41.7454,10.08625,,0.1556,,147.8
85,323622,egg liquid white producer c lot 3,,,,,,
86,323646,egg liquid white producer a lot 3,,,,,,
87,323663,egg liquid white producer f lot 3,,,,,,
88,323674,egg liquid white producer b lot 3,,,,,,
89,323698,egg dried white stabilized producer c lot 3,,,,,,
90,323699,dried stabilized egg white,,,,,,
91,323700,egg whites dried,325.3437,79.875,,0.6493,,1250.6667
92,323705,egg dried white stabilized producer e lot 3,,,,,,
93,323710,egg dried white stabilized producer e,,,,,,
94,323729,egg dried white stabilized producer c,,,,,,
95,323736,egg dried white stabilized producer d lot 3,,,,,,
96,323747,egg dried white stabilized producer d,,,,,,
97,323748,egg dried white stabilized producer b lot 3,,,,,,
98,323753,egg dried white stabilized producer b,,,,,,
99,323774,egg dried white stabilized producer a lot 3,,,,,,
100,323786,egg dried white stabilized producer a,,,,,,
101,323794,salsa tostitos chunky,,,,,,
102,323799,salsa,7.2297,1.33875,,0.2083,,656.25
103,323841,salsa pace chunky,,,,,,
104,323888,salsa tostitos chunky medium fl1,,,,,,
105,323889,salsa tostitos chunky medium mo1,,,,,,
106,323897,salsa tostitos chunky medium ct1,,,,,,
107,323898,salsa tostitos chunky medium co1,,,,,,
108,323906,salsa tostitos chunky medium al1,,,,,,
109,323907,salsa tostitos chunky medium ca1,,,,,,
110,323915,salsa tostitos chunky medium in1,,,,,,
111,323916,salsa tostitos chunky medium ny1,,,,,,
112,323932,salsa tostitos chunky medium nc1,,,,,,
113,323933,salsa tostitos chunky medium ca2,,,,,,
114,323948,salsa tostitos chunky medium mi1,,,,,,
115,323949,salsa tostitos chunky medium ok1,,,,,,
116,323964,salsa pace chunky medium ca1,,,,,,
117,323965,salsa pace chunky medium al1,,,,,,
118,323974,salsa pace chunky medium ny1,,,,,,
119,323989,salsa pace chunky medium nc1,,,,,,
120,323991,salsa pace chunky medium ca2,,,,,,
121,324004,salsa pace chunky medium ct1,,,,,,
122,324005,salsa pace chunky medium co1,,,,,,
123,324013,salsa pace chunky medium fl1,,,,,,
124,324014,salsa pace chunky medium mo1,,,,,,
125,324022,salsa pace chunky medium mi1,,,,,,
126,324023,salsa pace chunky medium ok1,,,,,,
127,324038,sauce salsa ready,29.0,1.44,6.74,0.19,1.8,656.0
128,324039,beef breakfast sausage banquet brown n serve sausage links,315.90000000000003,14.625,,28.6,,790.0
129,324053,beef breakfast sausage eckrich sausage links,293.0503,11.6875,,27.3667,,1020.0
130,324135,beef breakfast sausage banquet brown n serve sausage links maple flavor,342.75,12.562499999999998,,32.5,,784.0
131,324157,sausage breakfast sausage beef pre,328.0,13.3,3.37,28.7,,866.0
132,324158,onion rings frozen oven,,,,,,
133,324159,alexia onion rings frozen ca2,,,,,,
134,324160,alexia onion rings frozen nc1,,,,,,
135,324171,ore,,,,,,
136,324175,minerals onion rings frozen ore,,,,,,466.0
137,324176,proximates onion rings frozen ore,133.9503,4.3125,,12.9667,,
138,324178,alexia onion rings frozen mo1,,,,,,
139,324179,alexia onion rings frozen fl,,,,,,
140,324200,tocopherols onion rings frozen ore,,,,,,
141,324201,folate onion rings frozen ore,,,,,,
142,324203,niacin onion rings frozen ore,,,,,,
143,324204,riboflavin onion rings frozen ore,,,,,,
144,324205,selenium onion rings frozen ore,,,,,,
145,324206,sugars onion rings frozen ore,,,,,,
146,324208,fatty acids onion rings frozen ore,,,,,,
147,324210,starch onion rings frozen ore,98.2,,24.55,,,
148,324211,tdf onion rings frozen ore,4.4,,2.2,,2.2,
149,324212,thiamin onion rings frozen ore,,,,,,
150,324213,vitamin b6 onion rings frozen ore,,,,,,
151,324215,alexia onion rings frozen co1,,,,,,
152,324216,alexia onion rings frozen ct1,,,,,,
153,324251,pantothenic acid onion rings frozen ore,,,,,,
154,324253,alexia onion rings frozen in1,,,,,,
155,324254,alexia onion rings frozen ny1,,,,,,
156,324260,kroger onion rings frozen in1,,,,,,
157,324262,kroger sweet onion rings frozen co1,,,,,,
158,324298,alexia onion rings frozen ok1,,,,,,
159,324299,alexia onion rings frozen al 1,,,,,,
160,324319,pickles kosher dill spears vlasic fl,,,,,,
161,324320,pickles kosher dill spears vlasic mo1,,,,,,
162,324326,pickles kosher dill spears vlasic nc1,,,,,,
163,324327,pickles kosher dill spears vlasic ca2,,,,,,
164,324333,pickles kosher dill spears vlasic in1,,,,,,
165,324335,pickles kosher dill spears vlasic ny,,,,,,
166,324340,pickles kosher dill spears vlasic co1,,,,,,
167,324341,pickles kosher dill spears vlasic ct1,,,,,,
168,324353,pickles kosher dill spears clausen in1,,,,,,
169,324355,pickles kosher dill spears clausen ny,,,,,,
170,324360,pickles kosher dill spears clausen nc1,,,,,,
