fdc_id,data_type,description,food_category_id,publication_date
319874,sample_food,hummus sabra classic,16.0,2019-04-01
319877,sub_sample_food,hummus,16.0,2019-04-01
319894,sample_food,hummus other,16.0,2019-04-01
319958,sample_food,hummus tribe classic,16.0,2019-04-01
320025,sample_food,milk 2 wave 22e,1.0,2019-04-01
320027,sub_sample_food,milk 2,1.0,2019-04-01
320354,market_acquisition,beef eye of round roast raw er37,13.0,2019-04-01
320355,market_acquisition,beef eye of round steak raw es36,13.0,2019-04-01
320380,sub_sample_food,se,13.0,2019-04-01
320381,sub_sample_food,minerals,13.0,2019-04-01
320385,sub_sample_food,b12 b6 b3 b2,13.0,2019-04-01
320386,sub_sample_food,fa,13.0,2019-04-01
320387,sub_sample_food,choles fa,13.0,2019-04-01
320413,sample_food,tomatoes grape,11.0,2019-04-01
321359,foundation_food,milk reduced fat fluid 2 milkfat with added vitamin a and vitamin d,1.0,2019-04-01
321361,sample_food,salt morton iodized,2.0,2019-04-01
321363,sub_sample_food,salt iodized,2.0,2019-04-01
321366,sub_sample_food,salt not iodized,2.0,2019-04-01
321373,sample_food,salt great value iodized,2.0,2019-04-01
321379,sample_food,salt heb iodized,2.0,2019-04-01
321406,sample_food,salt laura lynn iodized,2.0,2019-04-01
321412,sample_food,salt essential everyday iodized,2.0,2019-04-01
321429,sample_food,salt hy vee iodized,2.0,2019-04-01
321458,sample_food,salt signature kitchens iodized,2.0,2019-04-01
321464,sample_food,salt food club iodized,2.0,2019-04-01
321475,sample_food,salt shop rite iodized,2.0,2019-04-01
321505,foundation_food,salt table iodized,2.0,2019-04-01
321506,sample_food,beans snap canned drained del monte,11.0,2019-04-01
321510,sub_sample_food,beans snap canned drained,11.0,2019-04-01
321557,sample_food,beans snap canned drained store brand,11.0,2019-04-01
321591,sample_food,beans snap canned drained great value,11.0,2019-04-01
321622,market_acquisition,broccoli raw ocean mist 4 bunches product of usa nc1,11.0,2019-04-01
321632,market_acquisition,broccoli raw 4 bunches product of usa al1,11.0,2019-04-01
321633,market_acquisition,broccoli raw 4 bunches ca1,11.0,2019-04-01
321642,market_acquisition,broccoli raw 1 bunch ct1,11.0,2019-04-01
321660,sub_sample_food,broccoli region 1 na yes proximates,11.0,2019-04-01
321706,sub_sample_food,broccoli region 3 na yes proximates,11.0,2019-04-01
321731,sub_sample_food,broccoli region 4 na yes proximates,11.0,2019-04-01
321747,sub_sample_food,broccoli cooked region 4 na yes proximates,11.0,2019-04-01
321775,sub_sample_food,broccoli region 2 na yes proximates,11.0,2019-04-01
321793,sub_sample_food,broccoli cooked region 2 na yes proximates,11.0,2019-04-01
321900,foundation_food,broccoli raw,11.0,2019-04-01
321901,sample_food,milk 1wave 22e,1.0,2019-04-01
321902,market_acquisition,milk 1 wave 22e,1.0,2019-04-01
321903,sub_sample_food,milk 1,1.0,2019-04-01
322022,sub_sample_food,milk skim,1.0,2019-04-01
322041,sub_sample_food,milk skim wave 22e,1.0,2019-04-01
322228,foundation_food,milk lowfat fluid 1 milkfat with added vitamin a and vitamin d,1.0,2019-04-01
322559,foundation_food,milk nonfat fluid with added vitamin a and vitamin d fat free or skim,1.0,2019-04-01
322560,sample_food,milk whole wave 22e,1.0,2019-04-01
322562,sub_sample_food,milk whole,1.0,2019-04-01
322892,foundation_food,milk whole 325 milkfat with added vitamin d,1.0,2019-04-01
322893,sample_food,hot dogs beef ball park angus,7.0,2019-04-01
322896,sub_sample_food,hot dogs beef,7.0,2019-04-01
322955,sample_food,hot dogs beef oscar mayer premium jumbo,7.0,2019-04-01
323044,sample_food,hot dogs beef hebrew national,7.0,2019-04-01
323122,sample_food,almonds dry roasted salted blue diamond,12.0,2019-04-01
323127,sub_sample_food,almonds dry roasted salted,12.0,2019-04-01
323178,sample_food,almonds dry roasted salted emerald,12.0,2019-04-01
323205,sample_food,almonds dry roasted salted store brand,12.0,2019-04-01
323265,sample_food,almonds dry roasted salted snack artist,12.0,2019-04-01
323280,sample_food,almonds dry roasted salted great value,12.0,2019-04-01
323295,sample_food,cheese ricotta whole milk galbani,1.0,2019-04-01
323304,sample_food,cheese ricotta whole milk sorrento,1.0,2019-04-01
323321,sub_sample_food,ricotta cheese whole milk,1.0,2019-04-01
323342,sample_food,cheese ricotta whole milk polly,1.0,2019-04-01
323361,sample_food,cheese ricotta whole milk storeother,1.0,2019-04-01
323378,sample_food,cheese ricotta whole milk lucerne,1.0,2019-04-01
323444,foundation_food,cheese ricotta whole milk,1.0,2019-04-01
323445,sample_food,kale fresh unprepared,11.0,2019-04-01
323448,sub_sample_food,kale,11.0,2019-04-01
